ESTABLECIMIENTO,TELEFONO_ESTABLECIMIENTO,DIRECCION_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,LATITUD_ESTABLECIMIENTO,LONGITUD_ESTABLECIMIENTO,USERNAME_USER_CREADOR,TELEFONO_USER_CREADOR,CORREO_USER_CREADOR,PASSWORD_USER_CREADOR,NOMBRE_USER_CREADOR,TIPONOMBRE_USER_CREADOR,NOMBRE_DIMENSION,NOMBRE_ATRIBUTO,DESCRIPCION_ATRIBUTO,NOMBRE_SERVICIO,DESCRIPCION_SERVICIO,NOMBRE_R_C,SERVICIO_TRC,ESTABLECIMIENTO_TRC,VALOR_RC,COMENTARIO_RC,INICIO_RC,FINAL_RC,USERNAME_USER_TRC,TELEFONO_USER_TRC,CORREO_USER_TRC,PASSWORD_USER_TRC,NOMBRE_USER_TRC,NOMBRE_TIPOUSUARIOTRC
,,,,,,administrador2,1231,julio,123,julio,3,,,,,,,,,,,,,,,,,,
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,8,7,2,d,Sat Oct 17 2015 02:26:51 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,7,7,1,no,Sat Oct 17 2015 02:25:14 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,5,7,7,hola,Sat Oct 17 2015 02:25:07 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,reservacion,8,7,40,Que alegre,Sat Oct 24 2015 03:02:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,reservacion,5,7,5,asdf,Thu Oct 22 2015 04:45:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,5,7,7,me gusta tambien,Sat Oct 17 2015 02:19:45 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,7,7,5,hola,Fri Oct 16 2015 16:35:50 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,5,7,1,f,Sat Oct 17 2015 02:22:12 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,7,7,1,hola,Fri Oct 16 2015 16:53:43 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,reservacion,5,7,10,Reserve 10 horas,Sun Oct 25 2015 14:36:00 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 4,Ya muchos,calificacion,5,7,1,Jajaja,Sat Oct 17 2015 08:45:51 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,8,7,2,d,Sat Oct 17 2015 02:26:51 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,1,no,Sat Oct 17 2015 02:25:14 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,7,hola,Sat Oct 17 2015 02:25:07 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,reservacion,8,7,40,Que alegre,Sat Oct 24 2015 03:02:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,reservacion,5,7,5,asdf,Thu Oct 22 2015 04:45:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,7,me gusta tambien,Sat Oct 17 2015 02:19:45 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,5,hola,Fri Oct 16 2015 16:35:50 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,1,f,Sat Oct 17 2015 02:22:12 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,1,hola,Fri Oct 16 2015 16:53:43 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,reservacion,5,7,10,Reserve 10 horas,Sun Oct 25 2015 14:36:00 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,1,Jajaja,Sat Oct 17 2015 08:45:51 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,8,7,2,d,Sat Oct 17 2015 02:26:51 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,7,7,1,no,Sat Oct 17 2015 02:25:14 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,5,7,7,hola,Sat Oct 17 2015 02:25:07 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,reservacion,8,7,40,Que alegre,Sat Oct 24 2015 03:02:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,reservacion,5,7,5,asdf,Thu Oct 22 2015 04:45:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,5,7,7,me gusta tambien,Sat Oct 17 2015 02:19:45 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,7,7,5,hola,Fri Oct 16 2015 16:35:50 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,5,7,1,f,Sat Oct 17 2015 02:22:12 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,7,7,1,hola,Fri Oct 16 2015 16:53:43 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,reservacion,5,7,10,Reserve 10 horas,Sun Oct 25 2015 14:36:00 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 2,Segundo Atributo,Servicio 1,Primer servicio creado,calificacion,5,7,1,Jajaja,Sat Oct 17 2015 08:45:51 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,8,7,2,d,Sat Oct 17 2015 02:26:51 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,7,7,1,no,Sat Oct 17 2015 02:25:14 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,5,7,7,hola,Sat Oct 17 2015 02:25:07 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,reservacion,8,7,40,Que alegre,Sat Oct 24 2015 03:02:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,reservacion,5,7,5,asdf,Thu Oct 22 2015 04:45:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,5,7,7,me gusta tambien,Sat Oct 17 2015 02:19:45 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,7,7,5,hola,Fri Oct 16 2015 16:35:50 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,5,7,1,f,Sat Oct 17 2015 02:22:12 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,7,7,1,hola,Fri Oct 16 2015 16:53:43 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,reservacion,5,7,10,Reserve 10 horas,Sun Oct 25 2015 14:36:00 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 4,Ya muchos,calificacion,5,7,1,Jajaja,Sat Oct 17 2015 08:45:51 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,8,7,2,d,Sat Oct 17 2015 02:26:51 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,1,no,Sat Oct 17 2015 02:25:14 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,7,hola,Sat Oct 17 2015 02:25:07 GMT-0600 (CST),,userito,123,123u,123,u,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,reservacion,8,7,40,Que alegre,Sat Oct 24 2015 03:02:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,reservacion,5,7,5,asdf,Thu Oct 22 2015 04:45:00 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,7,me gusta tambien,Sat Oct 17 2015 02:19:45 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,5,hola,Fri Oct 16 2015 16:35:50 GMT-0600 (CST),,asdf,1234,asdf,asdf,asdf,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,5,7,1,f,Sat Oct 17 2015 02:22:12 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,calificacion,7,7,1,hola,Fri Oct 16 2015 16:53:43 GMT-0600 (CST),,administrador2,1231,julio,123,julio,usuario normal
7,12341234,"30 ave Guatemala, Guatemala",Hotel Julio,15.000039999999998,90.12347899999999,julio,55555555,julio@gmail.com,123,Julio,2,Dimension 2,Atributo 1,Primer Atributo,Servicio 3,Tercer Servicio,reservacion,5,7,10,Reserve 10 horas,Sun Oct 25 2015 14:36:00 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
